Fichier log des capteurs d'humidité
Id, Humidité %, Heure, Date
1_Humidity, 8.000000, 11:36:08, 2024-10-22
1_Humidity, 43.000000, 11:50:18, 2024-10-22
1_Humidity, 83.000000, 11:50:28, 2024-10-22
1_Humidity, 46.000000, 11:51:59, 2024-10-22
1_Humidity, 47.000000, 11:52:09, 2024-10-22
1_Humidity, 43.000000, 11:53:58, 2024-10-22
1_Humidity, 72.000000, 11:57:25, 2024-10-22
1_Humidity, 19.000000, 11:57:35, 2024-10-22
1_Humidity, 67.000000, 11:57:45, 2024-10-22
1_Humidity, 32.000000, 11:58:14, 2024-10-22
1_Humidity, 76.000000, 11:58:25, 2024-10-22
1_Humidity, 24.000000, 11:58:35, 2024-10-22
1_Humidity, 20.000000, 14:23:58, 2024-10-22
1_Humidity, 49.000000, 14:24:08, 2024-10-22
1_Humidity, 32.000000, 14:27:53, 2024-10-22
1_Humidity, 51.000000, 14:28:03, 2024-10-22
1_Humidity, 100.000000, 14:28:13, 2024-10-22
1_Humidity, 53.000000, 14:28:23, 2024-10-22
1_Humidity, 55.000000, 14:28:33, 2024-10-22
1_Humidity, 77.000000, 14:49:09, 2024-10-27
1_Humidity, 38.000000, 14:49:19, 2024-10-27
1_Humidity, 50.000000, 14:07:52, 2024-11-02
1_Humidity, 86.000000, 14:08:02, 2024-11-02
1_Humidity, 32.000000, 14:40:06, 2024-11-02
1_Humidity, 59.000000, 14:40:16, 2024-11-02
1_Humidity, 83.000000, 14:40:26, 2024-11-02
1_Humidity, 39.000000, 17:16:06, 2024-11-02
1_Humidity, 69.000000, 17:16:16, 2024-11-02
1_Humidity, 82.000000, 17:16:58, 2024-11-02
1_Humidity, 76.000000, 17:17:01, 2024-11-02
1_Humidity, 31.000000, 17:17:04, 2024-11-02
1_Humidity, 71.000000, 17:17:07, 2024-11-02
1_Humidity, 2.000000, 17:17:10, 2024-11-02
1_Humidity, 51.000000, 17:17:13, 2024-11-02
1_Humidity, 8.000000, 17:17:16, 2024-11-02
1_Humidity, 1.000000, 17:17:19, 2024-11-02
1_Humidity, 23.000000, 13:59:37, 2024-11-08
1_Humidity, 86.000000, 13:59:40, 2024-11-08
1_Humidity, 96.000000, 14:00:41, 2024-11-08
1_Humidity, 59.000000, 14:00:44, 2024-11-08
1_Humidity, 55.000000, 14:00:47, 2024-11-08
1_Humidity, 26.000000, 14:00:50, 2024-11-08
1_Humidity, 23.000000, 14:00:53, 2024-11-08
1_Humidity, 0.000000, 14:00:56, 2024-11-08
1_Humidity, 62.000000, 14:00:59, 2024-11-08
1_Humidity, 28.000000, 14:01:02, 2024-11-08
1_Humidity, 9.000000, 14:01:05, 2024-11-08
1_Humidity, 7.000000, 14:01:08, 2024-11-08
1_Humidity, 92.000000, 14:01:11, 2024-11-08
1_Humidity, 59.000000, 14:01:14, 2024-11-08
1_Humidity, 42.000000, 14:01:17, 2024-11-08
1_Humidity, 71.000000, 14:01:20, 2024-11-08
1_Humidity, 30.000000, 14:01:23, 2024-11-08
1_Humidity, 10.000000, 14:01:26, 2024-11-08
1_Humidity, 55.000000, 14:01:29, 2024-11-08
1_Humidity, 11.000000, 14:01:32, 2024-11-08
1_Humidity, 62.000000, 14:01:35, 2024-11-08
1_Humidity, 19.000000, 14:01:38, 2024-11-08
1_Humidity, 4.000000, 14:01:41, 2024-11-08
1_Humidity, 5.000000, 14:01:44, 2024-11-08
1_Humidity, 63.000000, 14:01:47, 2024-11-08
1_Humidity, 53.000000, 14:01:50, 2024-11-08
1_Humidity, 59.000000, 14:01:53, 2024-11-08
1_Humidity, 64.000000, 14:02:02, 2024-11-08
2_Humidity, 25.000000, 14:02:02, 2024-11-08
1_Humidity, 43.000000, 14:02:05, 2024-11-08
2_Humidity, 46.000000, 14:02:05, 2024-11-08
1_Humidity, 96.000000, 14:02:08, 2024-11-08
2_Humidity, 80.000000, 14:02:08, 2024-11-08
1_Humidity, 94.000000, 14:02:11, 2024-11-08
2_Humidity, 53.000000, 14:02:11, 2024-11-08
1_Humidity, 42.000000, 14:02:14, 2024-11-08
2_Humidity, 30.000000, 14:02:14, 2024-11-08
1_Humidity, 72.000000, 14:02:17, 2024-11-08
2_Humidity, 48.000000, 14:02:17, 2024-11-08
1_Humidity, 30.000000, 14:02:20, 2024-11-08
2_Humidity, 95.000000, 14:02:20, 2024-11-08
1_Humidity, 38.000000, 14:02:23, 2024-11-08
2_Humidity, 44.000000, 14:02:23, 2024-11-08
1_Humidity, 30.000000, 14:02:26, 2024-11-08
2_Humidity, 56.000000, 14:02:26, 2024-11-08
1_Humidity, 66.000000, 14:02:29, 2024-11-08
2_Humidity, 76.000000, 14:02:29, 2024-11-08
1_Humidity, 83.000000, 14:02:32, 2024-11-08
2_Humidity, 19.000000, 14:02:32, 2024-11-08
1_Humidity, 62.000000, 14:02:35, 2024-11-08
2_Humidity, 35.000000, 14:02:35, 2024-11-08
1_Humidity, 87.000000, 14:02:38, 2024-11-08
2_Humidity, 38.000000, 14:02:38, 2024-11-08
1_Humidity, 100.000000, 14:02:41, 2024-11-08
2_Humidity, 27.000000, 14:02:41, 2024-11-08
1_Humidity, 76.000000, 14:02:44, 2024-11-08
2_Humidity, 59.000000, 14:02:44, 2024-11-08
1_Humidity, 65.000000, 14:02:47, 2024-11-08
2_Humidity, 29.000000, 14:02:47, 2024-11-08
1_Humidity, 23.000000, 14:02:50, 2024-11-08
2_Humidity, 14.000000, 14:02:50, 2024-11-08
1_Humidity, 25.000000, 14:02:53, 2024-11-08
2_Humidity, 51.000000, 14:02:53, 2024-11-08
1_Humidity, 76.000000, 14:02:56, 2024-11-08
2_Humidity, 44.000000, 14:02:56, 2024-11-08
1_Humidity, 68.000000, 14:02:59, 2024-11-08
2_Humidity, 46.000000, 14:02:59, 2024-11-08
1_Humidity, 18.000000, 14:03:02, 2024-11-08
2_Humidity, 18.000000, 14:03:02, 2024-11-08
1_Humidity, 57.000000, 14:03:05, 2024-11-08
2_Humidity, 24.000000, 14:03:05, 2024-11-08
1_Humidity, 84.000000, 14:03:08, 2024-11-08
2_Humidity, 99.000000, 14:03:08, 2024-11-08
